Comment,Id,Language_Type,Part1,Part2b,Part2t,Ref_Name,Scope
,bkp,L,,,,Boko (Democratic Republic of Congo),I
,bkq,L,,,,Bakairí,I
,bkr,L,,,,Bakumpai,I
,bks,L,,,,Northern Sorsoganon,I
,bkt,L,,,,Boloki,I
,bku,L,,,,Buhid,I
,bkv,L,,,,Bekwarra,I
,bkw,L,,,,Bekwel,I
,bkx,L,,,,Baikeno,I
,bky,L,,,,Bokyi,I
,bkz,L,,,,Bungku,I
,bla,L,,bla,bla,Siksika,I
,blb,L,,,,Bilua,I
,blc,L,,,,Bella Coola,I
,bld,L,,,,Bolango,I
,ble,L,,,,Balanta-Kentohe,I
,blf,L,,,,Buol,I
,blh,L,,,,Kuwaa,I
,bli,L,,,,Bolia,I
,blj,L,,,,Bolongan,I
,blk,L,,,,Pa'o Karen,I
,bll,E,,,,Biloxi,I
,blm,L,,,,Beli (South Sudan),I
,bln,L,,,,Southern Catanduanes Bikol,I
,blo,L,,,,Anii,I
,blp,L,,,,Blablanga,I
,blq,L,,,,Baluan-Pam,I
,blr,L,,,,Blang,I
,bls,L,,,,Balaesang,I
,blt,L,,,,Tai Dam,I
,blv,L,,,,Kibala,I
,blw,L,,,,Balangao,I
,blx,L,,,,Mag-Indi Ayta,I
,bly,L,,,,Notre,I
,blz,L,,,,Balantak,I
,bma,L,,,,Lame,I
,bmb,L,,,,Bembe,I
,bmc,L,,,,Biem,I
,bmd,L,,,,Baga Manduri,I
,bme,L,,,,Limassa,I
,bmf,L,,,,Bom-Kim,I
,bmg,L,,,,Bamwe,I
,bmh,L,,,,Kein,I
,bmi,L,,,,Bagirmi,I
,bmj,L,,,,Bote-Majhi,I
,bmk,L,,,,Ghayavi,I
,bml,L,,,,Bomboli,I
,bmm,L,,,,Northern Betsimisaraka Malagasy,I
,bmn,E,,,,Bina (Papua New Guinea),I
,bmo,L,,,,Bambalang,I
,bmp,L,,,,Bulgebi,I
,bmq,L,,,,Bomu,I
,bmr,L,,,,Muinane,I
,bms,L,,,,Bilma Kanuri,I
,bmt,L,,,,Biao Mon,I
,bmu,L,,,,Somba-Siawari,I
,bmv,L,,,,Bum,I
,bmw,L,,,,Bomwali,I
,bmx,L,,,,Baimak,I
,bmz,L,,,,Baramu,I
,bna,L,,,,Bonerate,I
,bnb,L,,,,Bookan,I
,bnc,L,,,,Bontok,M
,bnd,L,,,,Banda (Indonesia),I
,bne,L,,,,Bintauna,I
,bnf,L,,,,Masiwang,I
,bng,L,,,,Benga,I
,bni,L,,,,Bangi,I
,bnj,L,,,,Eastern Tawbuid,I
,bnk,L,,,,Bierebo,I
,bnl,L,,,,Boon,I
,bnm,L,,,,Batanga,I
,bnn,L,,,,Bunun,I
,bno,L,,,,Bantoanon,I
,bnp,L,,,,Bola,I
,bnq,L,,,,Bantik,I
,bnr,L,,,,Butmas-Tur,I
,bns,L,,,,Bundeli,I
,bnu,L,,,,Bentong,I
,bnv,L,,,,Bonerif,I
,bnw,L,,,,Bisis,I
,bnx,L,,,,Bangubangu,I
,bny,L,,,,Bintulu,I
,bnz,L,,,,Beezen,I
,boa,L,,,,Bora,I
,bob,L,,,,Aweer,I
,bod,L,bo,tib,bod,Tibetan,I
,boe,L,,,,Mundabli,I
,bof,L,,,,Bolon,I
,bog,L,,,,Bamako Sign Language,I
,boh,L,,,,Boma,I
,boi,E,,,,Barbareño,I
,boj,L,,,,Anjam,I
,bok,L,,,,Bonjo,I
,bol,L,,,,Bole,I
,bom,L,,,,Berom,I
,bon,L,,,,Bine,I
,boo,L,,,,Tiemacèwè Bozo,I
,bop,L,,,,Bonkiman,I
,boq,L,,,,Bogaya,I
,bor,L,,,,Borôro,I
,bos,L,bs,bos,bos,Bosnian,I
,bot,L,,,,Bongo,I
,bou,L,,,,Bondei,I
,bov,L,,,,Tuwuli,I
,bow,E,,,,Rema,I
,box,L,,,,Buamu,I
,boy,L,,,,Bodo (Central African Republic),I
,boz,L,,,,Tiéyaxo Bozo,I
,bpa,L,,,,Daakaka,I
,bpc,L,,,,Mbuk,I
,bpd,L,,,,Banda-Banda,I
,bpe,L,,,,Bauni,I
,bpg,L,,,,Bonggo,I
,bph,L,,,,Botlikh,I
,bpi,L,,,,Bagupi,I
,bpj,L,,,,Binji,I
,bpk,L,,,,Orowe,I
,bpl,L,,,,Broome Pearling Lugger Pidgin,I
,bpm,L,,,,Biyom,I
,bpn,L,,,,Dzao Min,I
,bpo,L,,,,Anasi,I
,bpp,L,,,,Kaure,I
,bpq,L,,,,Banda Malay,I
,bpr,L,,,,Koronadal Blaan,I
,bps,L,,,,Sarangani Blaan,I
,bpt,E,,,,Barrow Point,I
,bpu,L,,,,Bongu,I
,bpv,L,,,,Bian Marind,I
,bpw,L,,,,Bo (Papua New Guinea),I
,bpx,L,,,,Palya Bareli,I
,bpy,L,,,,Bishnupriya,I
,bpz,L,,,,Bilba,I
,bqa,L,,,,Tchumbuli,I
,bqb,L,,,,Bagusa,I
,bqc,L,,,,Boko (Benin),I
,bqd,L,,,,Bung,I
,bqf,E,,,,Baga Kaloum,I
,bqg,L,,,,Bago-Kusuntu,I
,bqh,L,,,,Baima,I
,bqi,L,,,,Bakhtiari,I
,bqj,L,,,,Bandial,I
,bqk,L,,,,Banda-Mbrès,I
,bql,L,,,,Karian,I
,bqm,L,,,,Wumboko,I
,bqn,L,,,,Bulgarian Sign Language,I
,bqo,L,,,,Balo,I
,bqp,L,,,,Busa,I
,bqq,L,,,,Biritai,I
,bqr,L,,,,Burusu,I
,bqs,L,,,,Bosngun,I
,bqt,L,,,,Bamukumbit,I
,bqu,L,,,,Boguru,I
,bqv,L,,,,Koro Wachi,I
,bqw,L,,,,Buru (Nigeria),I
,bqx,L,,,,Baangi,I
,bqy,L,,,,Bengkala Sign Language,I
,bqz,L,,,,Bakaka,I
,bra,L,,bra,bra,Braj,I
,brb,L,,,,Brao,I
,brc,E,,,,Berbice Creole Dutch,I
,brd,L,,,,Baraamu,I
,bre,L,br,bre,bre,Breton,I
,brf,L,,,,Bira,I
,brg,L,,,,Baure,I
,brh,L,,,,Brahui,I
,bri,L,,,,Mokpwe,I
,brj,L,,,,Bieria,I
,brk,E,,,,Birked,I
,brl,L,,,,Birwa,I
,brm,L,,,,Barambu,I
,brn,L,,,,Boruca,I
,bro,L,,,,Brokkat,I
,brp,L,,,,Barapasi,I
,brq,L,,,,Breri,I
,brr,L,,,,Birao,I
,brs,L,,,,Baras,I
,brt,L,,,,Bitare,I
,bru,L,,,,Eastern Bru,I
,brv,L,,,,Western Bru,I
,brw,L,,,,Bellari,I
,brx,L,,,,Bodo (India),I
,bry,L,,,,Burui,I
,brz,L,,,,Bilbil,I
,bsa,L,,,,Abinomn,I
,bsb,L,,,,Brunei Bisaya,I
,bsc,L,,,,Bassari,I
,bse,L,,,,Wushi,I
,bsf,L,,,,Bauchi,I
,bsg,L,,,,Bashkardi,I
,bsh,L,,,,Kati,I
,bsi,L,,,,Bassossi,I
,bsj,L,,,,Bangwinji,I
,bsk,L,,,,Burushaski,I
,bsl,E,,,,Basa-Gumna,I
,bsm,L,,,,Busami,I
,bsn,L,,,,Barasana-Eduria,I
,bso,L,,,,Buso,I
,bsp,L,,,,Baga Sitemu,I
,bsq,L,,,,Bassa,I
,bsr,L,,,,Bassa-Kontagora,I
,bss,L,,,,Akoose,I
,bst,L,,,,Basketo,I
,bsu,L,,,,Bahonsuai,I
,bsv,E,,,,Baga Sobané,I
,bsw,L,,,,Baiso,I
,bsx,L,,,,Yangkam,I
,bsy,L,,,,Sabah Bisaya,I
,bta,L,,,,Bata,I
,btc,L,,,,Bati (Cameroon),I
,btd,L,,,,Batak Dairi,I
,bte,E,,,,Gamo-Ningi,I
,btf,L,,,,Birgit,I
,btg,L,,,,Gagnoa Bété,I
,bth,L,,,,Biatah Bidayuh,I
,bti,L,,,,Burate,I
,btj,L,,,,Bacanese Malay,I
,btm,L,,,,Batak Mandailing,I
,btn,L,,,,Ratagnon,I
,bto,L,,,,Rinconada Bikol,I
,btp,L,,,,Budibud,I
,btq,L,,,,Batek,I
,btr,L,,,,Baetora,I
,bts,L,,,,Batak Simalungun,I
,btt,L,,,,Bete-Bendi,I
,btu,L,,,,Batu,I
,btv,L,,,,Bateri,I
,btw,L,,,,Butuanon,I
,btx,L,,,,Batak Karo,I
,bty,L,,,,Bobot,I
,btz,L,,,,Batak Alas-Kluet,I
,bua,L,,bua,bua,Buriat,M
,bub,L,,,,Bua,I
,buc,L,,,,Bushi,I
,bud,L,,,,Ntcham,I
,bue,E,,,,Beothuk,I
,buf,L,,,,Bushoong,I
,bug,L,,bug,bug,Buginese,I
,buh,L,,,,Younuo Bunu,I
,bui,L,,,,Bongili,I
,buj,L,,,,Basa-Gurmana,I
,buk,L,,,,Bugawac,I
,bul,L,bg,bul,bul,Bulgarian,I
,bum,L,,,,Bulu (Cameroon),I
,bun,L,,,,Sherbro,I
,buo,L,,,,Terei,I
,bup,L,,,,Busoa,I
,buq,L,,,,Brem,I
,bus,L,,,,Bokobaru,I
,but,L,,,,Bungain,I
,buu,L,,,,Budu,I
,buv,L,,,,Bun,I
,buw,L,,,,Bubi,I
,bux,L,,,,Boghom,I
,buy,L,,,,Bullom So,I
,buz,L,,,,Bukwen,I
,bva,L,,,,Barein,I
,bvb,L,,,,Bube,I
,bvc,L,,,,Baelelea,I
,bvd,L,,,,Baeggu,I
,bve,L,,,,Berau Malay,I
,bvf,L,,,,Boor,I
,bvg,L,,,,Bonkeng,I
,bvh,L,,,,Bure,I
,bvi,L,,,,Belanda Viri,I
,bvj,L,,,,Baan,I
,bvk,L,,,,Bukat,I
,bvl,L,,,,Bolivian Sign Language,I
,bvm,L,,,,Bamunka,I
,bvn,L,,,,Buna,I
,bvo,L,,,,Bolgo,I
,bvp,L,,,,Bumang,I
,bvq,L,,,,Birri,I
,bvr,L,,,,Burarra,I
,bvt,L,,,,Bati (Indonesia),I
,bvu,L,,,,Bukit Malay,I
,bvv,E,,,,Baniva,I
,bvw,L,,,,Boga,I
,bvx,L,,,,Dibole,I
,bvy,L,,,,Baybayanon,I
,bvz,L,,,,Bauzi,I
,bwa,L,,,,Bwatoo,I
,bwb,L,,,,Namosi-Naitasiri-Serua,I
,bwc,L,,,,Bwile,I
,bwd,L,,,,Bwaidoka,I
,bwe,L,,,,Bwe Karen,I
,bwf,L,,,,Boselewa,I
,bwg,L,,,,Barwe,I
,bwh,L,,,,Bishuo,I
,bwi,L,,,,Baniwa,I
,bwj,L,,,,Láá Láá Bwamu,I
,bwk,L,,,,Bauwaki,I
,bwl,L,,,,Bwela,I
,bwm,L,,,,Biwat,I
,bwn,L,,,,Wunai Bunu,I
,bwo,L,,,,Boro (Ethiopia),I
,bwp,L,,,,Mandobo Bawah,I
,bwq,L,,,,Southern Bobo Madaré,I
,bwr,L,,,,Bura-Pabir,I
,bws,L,,,,Bomboma,I
,bwt,L,,,,Bafaw-Balong,I
,bwu,L,,,,Buli (Ghana),I
,bww,L,,,,Bwa,I
,bwx,L,,,,Bu-Nao Bunu,I
,bwy,L,,,,Cwi Bwamu,I
,bwz,L,,,,Bwisi,I
,bxa,L,,,,Tairaha,I
,bxb,L,,,,Belanda Bor,I
,bxc,L,,,,Molengue,I
,bxd,L,,,,Pela,I
,bxe,L,,,,Birale,I
,bxf,L,,,,Bilur,I
,bxg,L,,,,Bangala,I
,bxh,L,,,,Buhutu,I
,bxi,E,,,,Pirlatapa,I
,bxj,L,,,,Bayungu,I
,bxk,L,,,,Bukusu,I
,bxl,L,,,,Jalkunan,I
,bxm,L,,,,Mongolia Buriat,I
,bxn,L,,,,Burduna,I
,bxo,L,,,,Barikanchi,I
,bxp,L,,,,Bebil,I
,bxq,L,,,,Beele,I
,bxr,L,,,,Russia Buriat,I
,bxs,L,,,,Busam,I
,bxu,L,,,,China Buriat,I
,bxv,L,,,,Berakou,I
,bxw,L,,,,Bankagooma,I
,bxz,L,,,,Binahari,I
,bya,L,,,,Batak,I
,byb,L,,,,Bikya,I
,byc,L,,,,Ubaghara,I
,byd,L,,,,Benyadu',I
,bye,L,,,,Pouye,I
,byf,L,,,,Bete,I
,byg,E,,,,Baygo,I
,byh,L,,,,Bhujel,I
,byi,L,,,,Buyu,I
,byj,L,,,,Bina (Nigeria),I
,byk,L,,,,Biao,I
,byl,L,,,,Bayono,I
,bym,L,,,,Bidjara,I
,byn,L,,byn,byn,Bilin,I
,byo,L,,,,Biyo,I
,byp,L,,,,Bumaji,I
,byq,E,,,,Basay,I
,byr,L,,,,Baruya,I
,bys,L,,,,Burak,I
,byt,E,,,,Berti,I
,byv,L,,,,Medumba,I
,byw,L,,,,Belhariya,I
,byx,L,,,,Qaqet,I
,byz,L,,,,Banaro,I
,bza,L,,,,Bandi,I
,bzb,L,,,,Andio,I
,bzc,L,,,,Southern Betsimisaraka Malagasy,I
,bzd,L,,,,Bribri,I
,bze,L,,,,Jenaama Bozo,I
,bzf,L,,,,Boikin,I
,bzg,L,,,,Babuza,I
,bzh,L,,,,Mapos Buang,I
,bzi,L,,,,Bisu,I
,bzj,L,,,,Belize Kriol English,I
,bzk,L,,,,Nicaragua Creole English,I
,bzl,L,,,,Boano (Sulawesi),I
,bzm,L,,,,Bolondo,I
,bzn,L,,,,Boano (Maluku),I
,bzo,L,,,,Bozaba,I
,bzp,L,,,,Kemberano,I
,bzq,L,,,,Buli (Indonesia),I
,bzr,E,,,,Biri,I
,bzs,L,,,,Brazilian Sign Language,I
,bzt,C,,,,Brithenig,I
,bzu,L,,,,Burmeso,I
,bzv,L,,,,Naami,I
,bzw,L,,,,Basa (Nigeria),I
,bzx,L,,,,Kɛlɛngaxo Bozo,I
,bzy,L,,,,Obanliku,I
,bzz,L,,,,Evant,I
,caa,L,,,,Chortí,I
,cab,L,,,,Garifuna,I
,cac,L,,,,Chuj,I
,cad,L,,cad,cad,Caddo,I
,cae,L,,,,Lehar,I
,caf,L,,,,Southern Carrier,I
,cag,L,,,,Nivaclé,I
,cah,L,,,,Cahuarano,I
,caj,E,,,,Chané,I
,cak,L,,,,Kaqchikel,I
,cal,L,,,,Carolinian,I
,cam,L,,,,Cemuhî,I
,can,L,,,,Chambri,I
,cao,L,,,,Chácobo,I
,cap,L,,,,Chipaya,I
,caq,L,,,,Car Nicobarese,I
,car,L,,car,car,Galibi Carib,I
,cas,L,,,,Tsimané,I
,cat,L,ca,cat,cat,Catalan,I
,cav,L,,,,Cavineña,I
,caw,L,,,,Callawalla,I
,cax,L,,,,Chiquitano,I
,cay,L,,,,Cayuga,I
,caz,E,,,,Canichana,I
,cbb,L,,,,Cabiyarí,I
,cbc,L,,,,Carapana,I
,cbd,L,,,,Carijona,I
,cbg,L,,,,Chimila,I
,cbi,L,,,,Chachi,I
,cbj,L,,,,Ede Cabe,I
,cbk,L,,,,Chavacano,I
,cbl,L,,,,Bualkhaw Chin,I
,cbn,L,,,,Nyahkur,I
,cbo,L,,,,Izora,I
,cbq,L,,,,Tsucuba,I
,cbr,L,,,,Cashibo-Cacataibo,I
,cbs,L,,,,Cashinahua,I
,cbt,L,,,,Chayahuita,I
,cbu,L,,,,Candoshi-Shapra,I
,cbv,L,,,,Cacua,I
,cbw,L,,,,Kinabalian,I
,cby,L,,,,Carabayo,I
,ccc,L,,,,Chamicuro,I
,ccd,L,,,,Cafundo Creole,I
,cce,L,,,,Chopi,I
,ccg,L,,,,Samba Daka,I
,cch,L,,,,Atsam,I
,ccj,L,,,,Kasanga,I
,ccl,L,,,,Cutchi-Swahili,I
,ccm,L,,,,Malaccan Creole Malay,I
,cco,L,,,,Comaltepec Chinantec,I
,ccp,L,,,,Chakma,I
,ccr,E,,,,Cacaopera,I
,cda,L,,,,Choni,I
,cde,L,,,,Chenchu,I
,cdf,L,,,,Chiru,I
,cdh,L,,,,Chambeali,I
,cdi,L,,,,Chodri,I
,cdj,L,,,,Churahi,I
,cdm,L,,,,Chepang,I
,cdn,L,,,,Chaudangsi,I
,cdo,L,,,,Min Dong Chinese,I
,cdr,L,,,,Cinda-Regi-Tiyal,I
,cds,L,,,,Chadian Sign Language,I
,cdy,L,,,,Chadong,I
,cdz,L,,,,Koda,I
,cea,E,,,,Lower Chehalis,I
,ceb,L,,ceb,ceb,Cebuano,I
,ceg,L,,,,Chamacoco,I
,cek,L,,,,Eastern Khumi Chin,I
,cen,L,,,,Cen,I
,ces,L,cs,cze,ces,Czech,I
,cet,L,,,,Centúúm,I
,cey,L,,,,Ekai Chin,I
,cfa,L,,,,Dijim-Bwilim,I
,cfd,L,,,,Cara,I
,cfg,L,,,,Como Karim,I
,cfm,L,,,,Falam Chin,I
,cga,L,,,,Changriwa,I
,cgc,L,,,,Kagayanen,I
,cgg,L,,,,Chiga,I
,cgk,L,,,,Chocangacakha,I
,cha,L,ch,cha,cha,Chamorro,I
,chb,E,,chb,chb,Chibcha,I
,chc,E,,,,Catawba,I
,chd,L,,,,Highland Oaxaca Chontal,I
,che,L,ce,che,che,Chechen,I
,chf,L,,,,Tabasco Chontal,I
,chg,E,,chg,chg,Chagatai,I
,chh,E,,,,Chinook,I
,chj,L,,,,Ojitlán Chinantec,I
,chk,L,,chk,chk,Chuukese,I
,chl,L,,,,Cahuilla,I
,chm,L,,chm,chm,Mari (Russia),M
,chn,L,,chn,chn,Chinook jargon,I
,cho,L,,cho,cho,Choctaw,I
,chp,L,,chp,chp,Chipewyan,I
,chq,L,,,,Quiotepec Chinantec,I
,chr,L,,chr,chr,Cherokee,I
,cht,E,,,,Cholón,I
,chu,H,cu,chu,chu,Church Slavic,I
,chv,L,cv,chv,chv,Chuvash,I
,chw,L,,,,Chuwabu,I
,chx,L,,,,Chantyal,I
,chy,L,,chy,chy,Cheyenne,I
,chz,L,,,,Ozumacín Chinantec,I
,cia,L,,,,Cia-Cia,I
,cib,L,,,,Ci Gbe,I
,cic,L,,,,Chickasaw,I
,cid,E,,,,Chimariko,I
,cie,L,,,,Cineni,I
,cih,L,,,,Chinali,I
,cik,L,,,,Chitkuli Kinnauri,I
,cim,L,,,,Cimbrian,I
,cin,L,,,,Cinta Larga,I
,cip,L,,,,Chiapanec,I
,cir,L,,,,Tiri,I
,ciw,L,,,,Chippewa,I
,ciy,L,,,,Chaima,I
,cja,L,,,,Western Cham,I
,cje,L,,,,Chru,I
,cjh,E,,,,Upper Chehalis,I
,cji,L,,,,Chamalal,I
,cjk,L,,,,Chokwe,I
,cjm,L,,,,Eastern Cham,I
,cjn,L,,,,Chenapian,I
,cjo,L,,,,Ashéninka Pajonal,I
,cjp,L,,,,Cabécar,I
,cjs,L,,,,Shor,I
,cjv,L,,,,Chuave,I
,cjy,L,,,,Jinyu Chinese,I
,ckb,L,,,,Central Kurdish,I
,ckh,L,,,,Chak,I
,ckl,L,,,,Cibak,I
,ckm,L,,,,Chakavian,I
,ckn,L,,,,Kaang Chin,I
,cko,L,,,,Anufo,I
,ckq,L,,,,Kajakse,I
,ckr,L,,,,Kairak,I
,cks,L,,,,Tayo,I
,ckt,L,,,,Chukot,I
,cku,L,,,,Koasati,I
,ckv,L,,,,Kavalan,I
,ckx,L,,,,Caka,I
,cky,L,,,,Cakfem-Mushere,I
,ckz,L,,,,Cakchiquel-Quiché Mixed Language,I
,cla,L,,,,Ron,I
,clc,L,,,,Chilcotin,I
,cld,L,,,,Chaldean Neo-Aramaic,I
,cle,L,,,,Lealao Chinantec,I
,clh,L,,,,Chilisso,I
,cli,L,,,,Chakali,I
,clj,L,,,,Laitu Chin,I
,clk,L,,,,Idu-Mishmi,I
,cll,L,,,,Chala,I
,clm,L,,,,Klallam,I
,clo,L,,,,Lowland Oaxaca Chontal,I
,cls,H,,,,Classical Sanskrit,I
,clt,L,,,,Lautu Chin,I
,clu,L,,,,Caluyanun,I
,clw,L,,,,Chulym,I
,cly,L,,,,Eastern Highland Chatino,I
,cma,L,,,,Maa,I
,cme,L,,,,Cerma,I
,cmg,H,,,,Classical Mongolian,I
,cmi,L,,,,Emberá-Chamí,I
,cml,L,,,,Campalagian,I
,cmm,E,,,,Michigamea,I
,cmn,L,,,,Mandarin Chinese,I
,cmo,L,,,,Central Mnong,I
,cmr,L,,,,Mro-Khimi Chin,I
,cms,H,,,,Messapic,I
,cmt,L,,,,Camtho,I
,cna,L,,,,Changthang,I
,cnb,L,,,,Chinbon Chin,I
,cnc,L,,,,Côông,I
,cng,L,,,,Northern Qiang,I
,cnh,L,,,,Hakha Chin,I
,cni,L,,,,Asháninka,I
,cnk,L,,,,Khumi Chin,I
,cnl,L,,,,Lalana Chinantec,I
,cno,L,,,,Con,I
,cnp,L,,,,Northern Ping Chinese,I
,cnq,L,,,,Chung,I
,cnr,L,,cnr,cnr,Montenegrin,I
,cns,L,,,,Central Asmat,I
,cnt,L,,,,Tepetotutla Chinantec,I
,cnu,L,,,,Chenoua,I
,cnw,L,,,,Ngawn Chin,I
,cnx,H,,,,Middle Cornish,I
,coa,L,,,,Cocos Islands Malay,I
,cob,E,,,,Chicomuceltec,I
,coc,L,,,,Cocopa,I
,cod,L,,,,Cocama-Cocamilla,I
,coe,L,,,,Koreguaje,I
,cof,L,,,,Colorado,I
,cog,L,,,,Chong,I
,coh,L,,,,Chonyi-Dzihana-Kauma,I
,coj,E,,,,Cochimi,I
,cok,L,,,,Santa Teresa Cora,I
,col,L,,,,Columbia-Wenatchi,I
,com,L,,,,Comanche,I
,con,L,,,,Cofán,I
,coo,L,,,,Comox,I
,cop,E,,cop,cop,Coptic,I
,coq,E,,,,Coquille,I
,cor,L,kw,cor,cor,Cornish,I
,cos,L,co,cos,cos,Corsican,I
,cot,L,,,,Caquinte,I
,cou,L,,,,Wamey,I
,cov,L,,,,Cao Miao,I
,cow,E,,,,Cowlitz,I
,cox,L,,,,Nanti,I
,coz,L,,,,Chochotec,I
,cpa,L,,,,Palantla Chinantec,I
,cpb,L,,,,Ucayali-Yurúa Ashéninka,I
,cpc,L,,,,Ajyíninka Apurucayali,I
,cpg,E,,,,Cappadocian Greek,I
,cpi,L,,,,Chinese Pidgin English,I
,cpn,L,,,,Cherepon,I
,cpo,L,,,,Kpeego,I
,cps,L,,,,Capiznon,I
,cpu,L,,,,Pichis Ashéninka,I
,cpx,L,,,,Pu-Xian Chinese,I
,cpy,L,,,,South Ucayali Ashéninka,I
,cqd,L,,,,Chuanqiandian Cluster Miao,I
,cra,L,,,,Chara,I
,crb,E,,,,Island Carib,I
,crc,L,,,,Lonwolwol,I
,crd,L,,,,Coeur d'Alene,I
,cre,L,cr,cre,cre,Cree,M
,crf,E,,,,Caramanta,I
,crg,L,,,,Michif,I
,crh,L,,crh,crh,Crimean Tatar,I
,cri,L,,,,Sãotomense,I
,crj,L,,,,Southern East Cree,I
,crk,L,,,,Plains Cree,I
,crl,L,,,,Northern East Cree,I
,crm,L,,,,Moose Cree,I
,crn,L,,,,El Nayar Cora,I
,cro,L,,,,Crow,I
,crq,L,,,,Iyo'wujwa Chorote,I
,crr,E,,,,Carolina Algonquian,I
,crs,L,,,,Seselwa Creole French,I
,crt,L,,,,Iyojwa'ja Chorote,I
,crv,L,,,,Chaura,I
,crw,L,,,,Chrau,I
,crx,L,,,,Carrier,I
,cry,L,,,,Cori,I
,crz,E,,,,Cruzeño,I
,csa,L,,,,Chiltepec Chinantec,I
,csb,L,,csb,csb,Kashubian,I
,csc,L,,,,Catalan Sign Language,I
,csd,L,,,,Chiangmai Sign Language,I
,cse,L,,,,Czech Sign Language,I
,csf,L,,,,Cuba Sign Language,I
,csg,L,,,,Chilean Sign Language,I
,csh,L,,,,Asho Chin,I
,csi,E,,,,Coast Miwok,I
,csj,L,,,,Songlai Chin,I
,csk,L,,,,Jola-Kasa,I
,csl,L,,,,Chinese Sign Language,I
,csm,L,,,,Central Sierra Miwok,I
,csn,L,,,,Colombian Sign Language,I
,cso,L,,,,Sochiapam Chinantec,I
,csp,L,,,,Southern Ping Chinese,I
,csq,L,,,,Croatia Sign Language,I
,csr,L,,,,Costa Rican Sign Language,I
,css,E,,,,Southern Ohlone,I
,cst,L,,,,Northern Ohlone,I
,csv,L,,,,Sumtu Chin,I
,csw,L,,,,Swampy Cree,I
,csx,L,,,,Cambodian Sign Language,I
,csy,L,,,,Siyin Chin,I
,csz,L,,,,Coos,I
,cta,L,,,,Tataltepec Chatino,I
,ctc,E,,,,Chetco,I
,ctd,L,,,,Tedim Chin,I
,cte,L,,,,Tepinapa Chinantec,I
,ctg,L,,,,Chittagonian,I
,cth,L,,,,Thaiphum Chin,I
,ctl,L,,,,Tlacoatzintepec Chinantec,I
,ctm,E,,,,Chitimacha,I
,ctn,L,,,,Chhintange,I
,cto,L,,,,Emberá-Catío,I
,ctp,L,,,,Western Highland Chatino,I
,cts,L,,,,Northern Catanduanes Bikol,I
,ctt,L,,,,Wayanad Chetti,I
,ctu,L,,,,Chol,I
,cty,L,,,,Moundadan Chetty,I
,ctz,L,,,,Zacatepec Chatino,I
,cua,L,,,,Cua,I
,cub,L,,,,Cubeo,I
,cuc,L,,,,Usila Chinantec,I
,cuh,L,,,,Chuka,I
,cui,L,,,,Cuiba,I
,cuj,L,,,,Mashco Piro,I
,cuk,L,,,,San Blas Kuna,I
,cul,L,,,,Culina,I
,cuo,E,,,,Cumanagoto,I
,cup,E,,,,Cupeño,I
,cuq,L,,,,Cun,I
,cur,L,,,,Chhulung,I
,cut,L,,,,Teutila Cuicatec,I
,cuu,L,,,,Tai Ya,I
,cuv,L,,,,Cuvok,I
,cuw,L,,,,Chukwa,I
,cux,L,,,,Tepeuxila Cuicatec,I
,cuy,L,,,,Cuitlatec,I
,cvg,L,,,,Chug,I
,cvn,L,,,,Valle Nacional Chinantec,I
,cwa,L,,,,Kabwa,I
,cwb,L,,,,Maindo,I
,cwd,L,,,,Woods Cree,I
,cwe,L,,,,Kwere,I
,cwg,L,,,,Chewong,I
,cwt,L,,,,Kuwaataay,I
,cxh,L,,,,Cha'ari,I
,cya,L,,,,Nopala Chatino,I
,cyb,E,,,,Cayubaba,I
,cym,L,cy,wel,cym,Welsh,I
,cyo,L,,,,Cuyonon,I
,czh,L,,,,Huizhou Chinese,I
,czk,E,,,,Knaanic,I
,czn,L,,,,Zenzontepec Chatino,I
,czo,L,,,,Min Zhong Chinese,I
,czt,L,,,,Zotung Chin,I
,daa,L,,,,Dangaléat,I
,dac,L,,,,Dambi,I
,dad,L,,,,Marik,I
,dae,L,,,,Duupa,I
,dag,L,,,,Dagbani,I
,dah,L,,,,Gwahatike,I
,dai,L,,,,Day,I
,daj,L,,,,Dar Fur Daju,I
,dak,L,,dak,dak,Dakota,I
,dal,L,,,,Dahalo,I
,dam,L,,,,Damakawa,I
,dan,L,da,dan,dan,Danish,I
,dao,L,,,,Daai Chin,I
,daq,L,,,,Dandami Maria,I
,dar,L,,dar,dar,Dargwa,I
,das,L,,,,Daho-Doo,I
,dau,L,,,,Dar Sila Daju,I
,dav,L,,,,Taita,I
,daw,L,,,,Davawenyo,I
,dax,L,,,,Dayi,I
,daz,L,,,,Moi-Wadea,I
,dba,L,,,,Bangime,I
,dbb,L,,,,Deno,I
,dbd,L,,,,Dadiya,I
,dbe,L,,,,Dabe,I
,dbf,L,,,,Edopi,I
,dbg,L,,,,Dogul Dom Dogon,I
,dbi,L,,,,Doka,I
,dbj,L,,,,Ida'an,I
,dbl,L,,,,Dyirbal,I
,dbm,L,,,,Duguri,I
,dbn,L,,,,Duriankere,I
,dbo,L,,,,Dulbu,I
,dbp,L,,,,Duwai,I
,dbq,L,,,,Daba,I
,dbr,L,,,,Dabarre,I
,dbt,L,,,,Ben Tey Dogon,I
,dbu,L,,,,Bondum Dom Dogon,I
,dbv,L,,,,Dungu,I
,dbw,L,,,,Bankan Tey Dogon,I
,dby,L,,,,Dibiyaso,I
